"host_response_time","host_is_superhost","host_listings_count","host_has_profile_pic","host_identity_verified","neighbourhood_group_cleansed","room_type","accommodates","bedrooms","beds","price","minimum_nights_avg_ntm","maximum_nights_avg_ntm","availability_30","availability_60","availability_90","availability_365","number_of_reviews","number_of_reviews_ltm","number_of_reviews_l30d","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_location","review_scores_value","instant_bookable","reviews_per_month","host_since_season","host_since_year","host_response_rate_cat","host_acceptance_rate_cat"
"Unknown",FALSE,1,TRUE,FALSE,"Ciutat Vella","Private room",2,1,1,35,5,10,0,0,0,0,5,0,0,64,8,8,8,8,FALSE,0.3,"Winter","2019","Unknown","Unknown"
"within an hour",FALSE,28,TRUE,TRUE,"Eixample","Entire home/apt",4,2,3,115,3,1125,29,59,89,364,14,4,0,92,9,9,10,9,TRUE,0.89,"Winter","2009","high","high"
"Unknown",FALSE,2,TRUE,TRUE,"Ciutat Vella","Private room",4,1,2,79,2,1125,0,0,0,0,18,8,0,74,9,7,9,7,TRUE,1.03,"Winter","2019","Unknown","very high"
"Unknown",FALSE,1,TRUE,FALSE,"Horta-Guinardó","Private room",2,1,1,40,5,1125,29,36,36,36,11,2,0,93,9,9,10,9,FALSE,0.63,"Winter","2019","Unknown","average"
"within an hour",FALSE,3,TRUE,TRUE,"Ciutat Vella","Private room",2,1,1,23,2,1125,14,44,52,52,14,13,1,90,9,9,10,9,TRUE,1.1,"Autumn","2018","very high","very high"
"Unknown",FALSE,1,TRUE,TRUE,"Ciutat Vella","Private room",1,1,1,30,2,5,0,0,0,0,8,2,0,90,9,9,10,9,TRUE,0.48,"Autumn","2010","Unknown","very high"
"within an hour",FALSE,19,TRUE,TRUE,"Gràcia","Entire home/apt",9,5,7,199,3.5,1125,0,0,0,0,31,23,0,90,9,9,9,9,FALSE,1.85,"Summer","2018","very high","very high"
"Unknown",FALSE,4,TRUE,FALSE,"Sants-Montjuïc","Hotel room",10,1,10,17,1,363.5,29,59,89,123,2,1,0,100,8,10,8,8,TRUE,0.11,"Winter","2019","Unknown","very high"
"Unknown",FALSE,2,TRUE,TRUE,"Ciutat Vella","Private room",2,1,1,41,2,15,29,59,68,303,38,17,0,86,9,9,10,9,TRUE,2.38,"Winter","2019","Unknown","very high"
"within a few hours",FALSE,3,TRUE,FALSE,"Gràcia","Private room",2,1,1,35,2,1125,30,60,90,365,0,0,0,80,10,8,10,8,TRUE,0.04,"Spring","2014","very high","very high"
"within an hour",TRUE,6,TRUE,TRUE,"Eixample","Private room",1,1,1,24,2,1125,23,53,83,83,61,29,2,97,10,10,10,9,TRUE,3.47,"Autumn","2015","very high","very high"
"Unknown",TRUE,1,TRUE,FALSE,"Eixample","Private room",4,2,2,250,3.3,1125,0,0,0,0,7,3,0,100,10,10,10,10,TRUE,0.46,"Winter","2019","Unknown","high"
"Unknown",FALSE,1,TRUE,TRUE,"Eixample","Private room",1,1,1,220,1,1125,23,53,83,83,0,0,0,80,7,9,8,7,FALSE,0.39,"Winter","2019","Unknown","Unknown"
"Unknown",FALSE,2,TRUE,TRUE,"Eixample","Private room",2,1,1,43,2,1125,0,0,0,0,43,25,0,93,10,10,10,9,TRUE,2.56,"Spring","2011","Unknown","very high"
"within an hour",FALSE,2,TRUE,TRUE,"Sant Martí","Private room",2,1,1,28,1,14,30,60,90,357,15,5,0,85,9,9,8,8,TRUE,0.91,"Winter","2019","very high","very high"
"Unknown",FALSE,1,TRUE,FALSE,"Sants-Montjuïc","Private room",1,1,1,16,30,1125,29,59,89,179,0,0,0,100,10,10,10,10,TRUE,0.13,"Winter","2019","Unknown","very high"
"within a few hours",FALSE,0,TRUE,FALSE,"Sant Martí","Private room",2,1,1,40,1,31,29,59,89,89,0,0,0,100,10,10,10,10,FALSE,0.25,"Winter","2018","very high","Unknown"
"within an hour",FALSE,3,TRUE,TRUE,"Eixample","Entire home/apt",5,2,3,95,1,1125,30,60,69,156,82,43,0,95,10,9,10,9,TRUE,4.79,"Winter","2019","very high","very high"
"within a few hours",FALSE,1,TRUE,FALSE,"Gràcia","Private room",2,2,1,20,1,999,30,60,90,90,6,1,0,93,9,9,10,9,FALSE,0.36,"Autumn","2018","very high","very low"
"within an hour",FALSE,1,TRUE,TRUE,"Ciutat Vella","Private room",2,1,1,25,1,1125,25,55,85,85,43,22,1,97,9,9,9,9,TRUE,2.45,"Winter","2019","very high","very high"
"within a few hours",FALSE,4,TRUE,TRUE,"Ciutat Vella","Private room",2,3,1,20,2,1125,30,60,90,90,28,14,0,81,9,9,9,8,FALSE,1.67,"Autumn","2015","very high","very high"
"Unknown",FALSE,1,TRUE,TRUE,"Sant Andreu","Private room",2,1,1,28,1.3,14,0,0,0,0,3,0,0,67,6,5,6,7,FALSE,0.18,"Summer","2016","Unknown","Unknown"
"within an hour",FALSE,2,TRUE,TRUE,"Nou Barris","Private room",2,1,2,35,2,1125,30,60,90,365,8,5,0,91,10,9,10,10,FALSE,0.61,"Summer","2014","very high","very high"
"within an hour",FALSE,3,TRUE,TRUE,"Eixample","Entire home/apt",6,4,4,100,1,1125,30,60,90,180,76,37,0,89,10,9,10,9,TRUE,4.38,"Winter","2019","very high","very high"
"within an hour",TRUE,1,TRUE,FALSE,"Sant Martí","Private room",2,1,1,45,2,7,29,59,89,360,13,8,0,95,10,10,10,9,TRUE,0.92,"Winter","2019","very high","very high"
"Unknown",FALSE,1,TRUE,FALSE,"Sant Martí","Entire home/apt",4,1,2,80,30,120,0,0,0,0,3,0,0,100,10,10,10,8,FALSE,0.19,"Winter","2019","Unknown","Unknown"
"within an hour",TRUE,3,TRUE,TRUE,"Eixample","Entire home/apt",4,2,3,70,32,1125,30,60,90,365,2,2,0,90,10,10,10,10,FALSE,0.2,"Autumn","2015","very high","very high"
"within an hour",FALSE,3,TRUE,TRUE,"Ciutat Vella","Private room",2,1,1,19,1,1125,30,60,90,90,61,32,1,91,10,9,10,9,TRUE,3.58,"Winter","2019","very high","very high"
"within an hour",FALSE,3,TRUE,TRUE,"Ciutat Vella","Private room",2,1,1,20,1,1125,29,59,89,89,65,40,4,92,9,9,10,9,TRUE,3.81,"Winter","2019","very high","very high"
"Unknown",FALSE,1,TRUE,FALSE,"Sant Martí","Private room",2,1,1,41,3,1125,6,6,34,35,26,10,0,92,9,9,9,9,FALSE,1.57,"Winter","2018","Unknown","very high"
"within a day",FALSE,2,TRUE,TRUE,"Ciutat Vella","Entire home/apt",4,2,3,32,32,1125,30,60,90,270,3,3,0,60,9,7,9,7,TRUE,0.26,"Winter","2019","average","very high"
"Unknown",TRUE,1,TRUE,TRUE,"Les Corts","Private room",1,1,1,35,2,7,0,0,0,0,28,11,0,97,10,10,10,10,FALSE,1.77,"Winter","2019","Unknown","very high"
"within an hour",FALSE,3,TRUE,TRUE,"Sant Martí","Entire home/apt",4,1,1,103,1,1125,30,60,67,67,28,10,0,96,10,10,10,9,TRUE,1.63,"Winter","2019","very high","very high"
"within a day",FALSE,45,TRUE,TRUE,"Eixample","Entire home/apt",15,5,8,247,2.6,300,30,60,90,359,19,8,0,86,9,10,9,8,TRUE,1.14,"Spring","2012","high","very high"
"within an hour",FALSE,173,TRUE,TRUE,"Eixample","Entire home/apt",2,1,2,59,33,1125,30,60,90,365,3,3,0,100,10,10,10,9,FALSE,0.3,"Spring","2017","very high","very high"
"within an hour",TRUE,38,TRUE,TRUE,"Ciutat Vella","Entire home/apt",4,2,4,115,32,1125,7,7,16,288,0,0,0,60,10,10,8,8,TRUE,0.1,"Autumn","2012","very high","very high"
"within an hour",FALSE,3,TRUE,TRUE,"Eixample","Entire home/apt",6,3,5,204,2.4,1125,0,0,0,98,15,7,0,92,10,10,10,9,TRUE,0.96,"Winter","2019","high","very high"
"Unknown",FALSE,0,TRUE,TRUE,"Sant Martí","Private room",2,1,1,60,16,1125,16,25,25,25,5,5,0,92,10,9,10,9,FALSE,0.47,"Autumn","2016","Unknown","very high"
"within an hour",FALSE,13,TRUE,TRUE,"Eixample","Private room",2,1,1,44,30,1125,29,59,89,179,0,0,0,100,10,10,9,9,FALSE,0.21,"Winter","2014","very high","low"
"within an hour",TRUE,1,TRUE,TRUE,"Eixample","Entire home/apt",4,2,3,67,3,10,29,59,89,89,59,32,0,96,10,10,10,9,FALSE,3.52,"Winter","2019","very high","very high"
"within an hour",FALSE,136,TRUE,TRUE,"Eixample","Private room",1,1,1,17,32,130,0,23,53,328,0,0,0,100,10,8,10,10,TRUE,0.02,"Spring","2018","very high","very high"
"within an hour",FALSE,136,TRUE,TRUE,"Gràcia","Private room",1,1,1,14,32,330,29,59,89,364,0,0,0,60,10,8,10,8,FALSE,0.14,"Spring","2018","very high","very high"
"within an hour",TRUE,2,TRUE,FALSE,"Sants-Montjuïc","Hotel room",4,1,1,150,1,1125,30,60,90,357,3,3,0,87,10,10,9,8,TRUE,0.44,"Winter","2016","very high","very high"
"within an hour",TRUE,2,TRUE,FALSE,"Sants-Montjuïc","Hotel room",5,2,3,170,1,1125,29,58,88,350,6,5,5,90,10,10,9,9,TRUE,0.39,"Winter","2016","very high","very high"
"within a few hours",FALSE,4,TRUE,TRUE,"Eixample","Entire home/apt",11,3,7,68.57,3.5,1122.1,0,0,0,129,63,33,0,95,10,9,10,9,FALSE,3.61,"Winter","2019","very high","high"
"within a few hours",FALSE,4,TRUE,TRUE,"Eixample","Entire home/apt",14,6,12,141,3.6,1125,20,50,80,240,32,19,1,94,10,9,10,9,FALSE,1.83,"Winter","2019","very high","high"
"within a few hours",FALSE,4,TRUE,TRUE,"Eixample","Entire home/apt",7,3,6,400,3.6,999,30,60,90,219,56,27,0,93,9,9,10,9,FALSE,3.2,"Winter","2019","very high","high"
"within a few hours",FALSE,4,TRUE,TRUE,"Eixample","Entire home/apt",12,6,11,150,3.6,999,30,57,83,213,50,32,0,95,10,10,10,10,FALSE,2.86,"Winter","2019","very high","high"
"within an hour",FALSE,38,TRUE,TRUE,"Sants-Montjuïc","Entire home/apt",6,3,4,56,32,1125,0,0,0,207,0,0,0,80,8,6,10,8,FALSE,0.03,"Autumn","2017","very high","very high"
"within an hour",FALSE,38,TRUE,TRUE,"Eixample","Entire home/apt",5,4,5,66,32,1125,0,29,59,334,1,0,0,80,8,8,8,10,FALSE,0.07,"Autumn","2017","very high","very high"
"within an hour",FALSE,6,TRUE,TRUE,"Eixample","Entire home/apt",6,2,2,60,3.7,1125,27,52,76,351,34,19,0,94,10,10,10,9,FALSE,1.97,"Winter","2012","very high","very high"
"within an hour",FALSE,3,TRUE,TRUE,"Sants-Montjuïc","Entire home/apt",7,4,4,149,1,1125,0,0,0,0,2,2,0,100,10,10,10,10,FALSE,0.25,"Summer","2016","very high","very high"
"Unknown",FALSE,1,TRUE,FALSE,"Ciutat Vella","Entire home/apt",4,2,2,140,3,1125,0,0,0,0,6,0,0,83,10,8,10,9,TRUE,0.35,"Winter","2019","Unknown","Unknown"
"within a few hours",FALSE,2,TRUE,FALSE,"Sants-Montjuïc","Shared room",3,1,2,17,1.6,15,0,0,7,281,5,0,0,96,9,10,9,9,TRUE,0.3,"Winter","2019","very high","very high"
"Unknown",FALSE,0,TRUE,TRUE,"Ciutat Vella","Private room",2,1,1,41,30,90,0,0,0,0,0,0,0,80,10,10,10,6,FALSE,0.05,"Winter","2012","Unknown","Unknown"
"Unknown",FALSE,1,TRUE,TRUE,"Eixample","Private room",2,1,1,46,2,10,0,0,0,0,3,0,0,93,10,10,10,9,FALSE,0.18,"Winter","2018","Unknown","Unknown"
"Unknown",TRUE,3,TRUE,TRUE,"Sant Martí","Private room",2,1,1,65,5,1125,30,60,68,305,0,0,0,96,9,10,9,10,FALSE,0.75,"Winter","2015","Unknown","very high"
"within a few hours",FALSE,4,TRUE,TRUE,"Eixample","Entire home/apt",16,6,14,88,3.5,1101.2,30,60,88,213,38,16,2,98,10,10,10,10,FALSE,2.18,"Winter","2019","very high","high"
"within a few hours",FALSE,4,TRUE,TRUE,"Eixample","Entire home/apt",8,3,6,90,3.5,999,30,60,90,220,53,29,0,92,9,9,10,9,FALSE,3.04,"Winter","2019","very high","high"
"within a few hours",FALSE,4,TRUE,TRUE,"Eixample","Entire home/apt",8,4,5,70,3.5,1122.4,30,60,90,219,48,26,0,95,10,9,10,9,FALSE,2.75,"Winter","2019","very high","high"
"Unknown",FALSE,1,TRUE,FALSE,"Sarrià-Sant Gervasi","Private room",1,1,1,39,31,1125,30,60,90,365,0,0,0,100,10,10,10,10,TRUE,0.06,"Winter","2019","Unknown","very high"
"Unknown",FALSE,4,TRUE,FALSE,"Sant Andreu","Private room",2,1,1,26,2,30,6,6,6,6,20,11,0,74,9,8,9,8,FALSE,1.15,"Winter","2019","Unknown","very high"
"within an hour",FALSE,1,TRUE,TRUE,"Sant Martí","Entire home/apt",6,2,3,113,5,1125,30,60,90,256,23,17,0,87,9,9,9,9,TRUE,1.48,"Winter","2019","very high","very high"
"Unknown",FALSE,4,TRUE,FALSE,"Sant Andreu","Private room",1,1,1,22,2,10,0,0,0,0,22,7,0,82,9,8,8,8,TRUE,1.42,"Winter","2019","Unknown","very high"
"within a few hours",FALSE,4,TRUE,TRUE,"Eixample","Entire home/apt",8,4,7,80,3.5,999,30,60,90,219,42,23,0,94,10,9,10,9,FALSE,2.4,"Winter","2019","very high","high"
"Unknown",FALSE,1,TRUE,TRUE,"Nou Barris","Private room",3,1,2,54,1,15,29,59,89,89,14,2,0,91,10,9,10,9,TRUE,0.83,"Winter","2015","Unknown","very high"
"within a day",TRUE,11,TRUE,TRUE,"Eixample","Entire home/apt",4,2,2,55,32,1125,9,39,69,108,3,3,0,100,10,9,10,9,TRUE,0.32,"Winter","2019","high","very high"
"a few days or more",FALSE,134,TRUE,TRUE,"Ciutat Vella","Entire home/apt",5,2,3,145,1,1125,30,60,69,69,8,6,0,90,10,10,10,10,FALSE,0.48,"Autumn","2011","low","very low"
"within an hour",TRUE,2,TRUE,TRUE,"Gràcia","Private room",2,1,1,21,1,1125,25,55,63,63,71,42,0,97,10,10,10,10,TRUE,4.19,"Winter","2019","very high","very high"
"Unknown",FALSE,1,TRUE,FALSE,"Gràcia","Private room",1,1,1,20,30,1125,29,59,89,179,0,0,0,100,10,10,10,10,FALSE,0.13,"Winter","2019","Unknown","very low"
"within an hour",FALSE,4,TRUE,TRUE,"Ciutat Vella","Entire home/apt",4,1,2,34,32,335,28,58,88,268,4,1,0,75,8,8,9,8,TRUE,0.28,"Winter","2016","very high","very high"
"within an hour",FALSE,2,TRUE,TRUE,"Ciutat Vella","Private room",2,1,1,55,1,1125,29,59,89,364,37,17,0,92,10,10,10,9,TRUE,2.3,"Winter","2019","very high","very high"
"within an hour",FALSE,10,TRUE,TRUE,"Nou Barris","Entire home/apt",4,3,3,132,14,1125,0,23,53,54,0,0,0,92,10,10,9,10,FALSE,0.46,"Summer","2017","very high","very high"
"within a few hours",TRUE,8,TRUE,TRUE,"Eixample","Entire home/apt",2,1,1,59,32,300,29,59,89,179,2,1,0,100,10,10,10,10,TRUE,0.14,"Summer","2013","very high","very high"
"Unknown",FALSE,1,TRUE,FALSE,"Ciutat Vella","Entire home/apt",4,2,2,40,1,10,0,0,0,0,18,0,0,91,10,8,10,9,FALSE,1.04,"Spring","2019","Unknown","Unknown"
"Unknown",FALSE,0,TRUE,TRUE,"Sants-Montjuïc","Private room",1,1,1,35,3,1125,0,0,0,0,1,0,0,100,10,10,10,10,FALSE,0.06,"Summer","2015","Unknown","very high"
"Unknown",FALSE,1,TRUE,FALSE,"Nou Barris","Private room",1,1,1,450,7,60,29,59,89,364,0,0,0,92,9,10,10,9,FALSE,0.45,"Spring","2019","Unknown","Unknown"
"Unknown",FALSE,1,TRUE,TRUE,"Gràcia","Private room",2,1,1,50,1,1125,29,59,89,179,17,0,0,99,10,10,10,10,FALSE,1.02,"Spring","2016","Unknown","very low"
"within a day",FALSE,4,TRUE,TRUE,"Ciutat Vella","Private room",2,1,2,28,1,1125,29,59,89,179,33,16,0,89,9,9,10,9,FALSE,2.03,"Winter","2018","average","very high"
"Unknown",TRUE,14,TRUE,FALSE,"Sants-Montjuïc","Private room",2,1,1,109,1,11,23,49,79,350,0,0,0,100,10,10,10,10,FALSE,0.14,"Spring","2013","Unknown","high"
"Unknown",FALSE,2,TRUE,TRUE,"Sant Martí","Entire home/apt",7,3,4,65,32,1125,30,60,90,256,0,0,0,60,7,6,8,6,FALSE,0.1,"Spring","2018","Unknown","very high"
"Unknown",FALSE,1,TRUE,TRUE,"Sants-Montjuïc","Private room",2,1,1,40,1,1125,12,12,12,12,0,0,0,100,10,9,10,10,TRUE,0.24,"Autumn","2015","Unknown","Unknown"
"Unknown",FALSE,1,TRUE,FALSE,"Sant Martí","Private room",2,1,1,31,3,5,0,0,0,0,13,2,0,89,9,8,10,9,FALSE,0.76,"Summer","2015","Unknown","Unknown"
"within a day",TRUE,1,TRUE,FALSE,"Ciutat Vella","Private room",1,1,1,30,2,1125,30,60,90,365,31,16,0,99,10,10,10,10,FALSE,1.83,"Spring","2012","high","very high"
"within an hour",TRUE,1,TRUE,TRUE,"Ciutat Vella","Private room",2,1,1,70,3,1125,29,54,84,347,39,15,0,100,10,10,10,10,TRUE,2.28,"Spring","2019","very high","very high"
"within a day",FALSE,5,TRUE,TRUE,"Sants-Montjuïc","Entire home/apt",4,2,3,115,2.4,1125,29,58,87,356,2,0,0,70,9,10,10,9,TRUE,0.15,"Autumn","2018","very high","very high"
"within a day",FALSE,5,TRUE,TRUE,"Sants-Montjuïc","Entire home/apt",8,3,7,123,2.4,1125,3,33,63,328,3,0,0,60,8,7,9,7,TRUE,0.19,"Autumn","2018","very high","very high"
"within an hour",FALSE,2,TRUE,TRUE,"Ciutat Vella","Private room",2,1,1,34,90,1125,30,60,90,365,0,0,0,93,9,9,9,9,FALSE,0.06,"Spring","2011","very high","very high"
"within an hour",FALSE,2,TRUE,TRUE,"Ciutat Vella","Private room",2,1,1,29,90,1125,30,60,90,365,0,0,0,93,9,9,9,9,FALSE,0.06,"Spring","2011","very high","very high"
"within a few hours",FALSE,9,TRUE,TRUE,"Ciutat Vella","Private room",2,1,1,9,30,1125,0,22,52,53,5,3,1,84,9,8,8,8,FALSE,0.35,"Spring","2012","very high","very high"
"within an hour",FALSE,29,TRUE,TRUE,"Sarrià-Sant Gervasi","Entire home/apt",6,3,4,169,2.6,1124,0,0,23,298,25,12,0,94,10,10,9,9,TRUE,1.53,"Spring","2015","very high","very high"
"Unknown",FALSE,1,TRUE,FALSE,"Sant Andreu","Private room",2,1,1,36,1,1125,0,0,0,0,33,9,0,93,10,9,10,9,TRUE,1.91,"Summer","2018","Unknown","very high"
"within an hour",TRUE,1,TRUE,TRUE,"Sarrià-Sant Gervasi","Private room",1,1,1,27.72,1,1125,8,38,68,343,18,11,0,98,10,10,10,10,FALSE,1.07,"Spring","2019","very high","very high"
"Unknown",FALSE,2,TRUE,TRUE,"Ciutat Vella","Private room",1,1,1,40,30,120,28,58,88,363,0,0,0,100,10,10,10,10,FALSE,0.09,"Spring","2012","Unknown","very low"
"within an hour",FALSE,2,TRUE,TRUE,"Sants-Montjuïc","Private room",2,1,2,32,2,1125,26,56,64,64,34,22,1,94,9,10,10,9,TRUE,2.01,"Winter","2016","very high","very high"
"within a few hours",TRUE,1,TRUE,TRUE,"Sant Martí","Entire home/apt",6,3,4,190,3,1125,30,60,90,344,19,10,0,98,10,9,10,10,FALSE,1.12,"Winter","2016","very high","very high"
"within an hour",FALSE,15,TRUE,TRUE,"Sants-Montjuïc","Hotel room",1,1,6,24,1,645.5,0,0,0,0,1,1,0,100,10,10,10,10,TRUE,0.09,"Summer","2017","very high","very high"
"Unknown",FALSE,1,TRUE,TRUE,"Ciutat Vella","Shared room",2,1,1,42,2.4,1125,0,0,21,21,27,10,0,82,8,9,8,8,FALSE,1.61,"Spring","2019","Unknown","very high"
"within a few hours",FALSE,1,TRUE,TRUE,"Horta-Guinardó","Entire home/apt",2,1,1,75,1,1125,0,0,7,7,2,1,0,100,10,9,10,10,FALSE,0.12,"Spring","2018","very high","very high"
"within an hour",FALSE,15,TRUE,TRUE,"Sants-Montjuïc","Hotel room",1,1,6,24,1,645.5,0,0,0,0,2,1,0,100,10,10,10,10,TRUE,0.12,"Summer","2017","very high","very high"
"within an hour",FALSE,15,TRUE,TRUE,"Sants-Montjuïc","Hotel room",1,1,6,24,1,645.5,0,0,0,0,2,0,0,90,9,9,9,9,TRUE,0.14,"Summer","2017","very high","very high"
"Unknown",FALSE,1,TRUE,TRUE,"Ciutat Vella","Private room",3,1,2,270,3,1125,29,59,89,364,16,1,0,88,9,9,9,8,TRUE,0.96,"Summer","2018","Unknown","Unknown"
"Unknown",FALSE,1,TRUE,TRUE,"Ciutat Vella","Private room",3,1,2,180,3,1125,0,0,0,266,9,0,0,96,9,9,10,9,TRUE,0.54,"Summer","2018","Unknown","Unknown"
"within an hour",FALSE,15,TRUE,TRUE,"Sants-Montjuïc","Hotel room",1,1,4,27,1,634.9,0,0,0,2,1,1,0,100,10,10,10,10,TRUE,0.16,"Summer","2017","very high","very high"
"within an hour",FALSE,15,TRUE,TRUE,"Sants-Montjuïc","Hotel room",1,1,4,27,1,634.9,0,0,0,2,1,1,0,100,10,10,10,10,TRUE,0.17,"Summer","2017","very high","very high"
"within an hour",FALSE,15,TRUE,TRUE,"Sants-Montjuïc","Hotel room",1,1,4,25.57,1,634.9,0,0,0,2,0,0,0,100,10,10,10,10,TRUE,0.17,"Summer","2017","very high","very high"
"Unknown",FALSE,4,TRUE,TRUE,"Ciutat Vella","Entire home/apt",6,2,3,110,31,1125,29,59,89,364,0,0,0,85,9,8,10,9,TRUE,0.26,"Winter","2012","Unknown","Unknown"
"Unknown",TRUE,14,TRUE,FALSE,"Sants-Montjuïc","Private room",3,1,3,115,1,11,28,52,82,357,2,0,0,100,10,10,10,10,FALSE,0.14,"Spring","2013","Unknown","high"
"Unknown",FALSE,3,TRUE,TRUE,"Sarrià-Sant Gervasi","Private room",2,1,2,70,3,100,29,59,89,364,6,0,0,97,10,10,10,10,FALSE,0.36,"Autumn","2016","Unknown","very high"
"Unknown",FALSE,1,TRUE,FALSE,"Les Corts","Private room",3,1,1,70,1,1125,0,0,0,0,25,6,0,90,9,9,10,9,TRUE,1.48,"Spring","2019","Unknown","Unknown"
"within a few hours",TRUE,1,TRUE,TRUE,"Sant Andreu","Private room",3,1,2,29,2,360,0,0,0,0,62,36,3,99,10,10,10,10,FALSE,3.68,"Summer","2016","very high","very high"
"within an hour",FALSE,2,TRUE,TRUE,"Eixample","Private room",1,1,1,27,1,1125,24,54,84,297,31,14,1,93,9,10,10,9,TRUE,1.87,"Unknown","2016","very high","very high"
"within an hour",FALSE,2,TRUE,TRUE,"Sarrià-Sant Gervasi","Entire home/apt",6,3,5,98,30,1125,0,0,0,0,0,0,0,70,7,9,7,7,TRUE,0.07,"Summer","2018","very high","very high"
"Unknown",FALSE,7,TRUE,TRUE,"Sant Martí","Private room",2,1,1,47,4,1125,0,0,0,268,10,8,0,89,9,10,9,9,TRUE,0.63,"Spring","2015","Unknown","very high"
"within a day",FALSE,6,TRUE,TRUE,"Gràcia","Entire home/apt",6,4,6,109,32,1125,29,59,89,364,0,0,0,85,9,8,10,9,FALSE,0.26,"Autumn","2014","very high","very high"
"a few days or more",FALSE,2,TRUE,TRUE,"Ciutat Vella","Entire home/apt",4,2,3,59,60,1125,30,60,90,90,0,0,0,96,9,9,8,9,FALSE,0.13,"Autumn","2011","very low","average"
"Unknown",FALSE,1,TRUE,TRUE,"Gràcia","Private room",3,1,1,99,2.3,1125,19,19,19,19,4,2,0,100,10,10,10,10,TRUE,0.24,"Spring","2013","Unknown","very high"
"Unknown",FALSE,1,TRUE,FALSE,"Gràcia","Private room",2,1,1,60,1.7,3,0,0,0,0,16,2,0,89,9,8,10,8,TRUE,0.98,"Winter","2019","Unknown","very high"
"within an hour",FALSE,3,TRUE,TRUE,"Sarrià-Sant Gervasi","Private room",1,1,1,28,1,1125,30,60,90,180,17,3,0,99,10,10,10,10,FALSE,1,"Spring","2013","very high","average"
"within a day",FALSE,473,TRUE,TRUE,"Gràcia","Entire home/apt",10,3,6,123,3.2,24.9,27,57,87,352,0,0,0,60,4,6,10,4,TRUE,0.1,"Summer","2018","very high","very high"
"within a day",FALSE,473,TRUE,TRUE,"Eixample","Entire home/apt",4,1,2,118,3.2,24,24,54,84,359,1,1,0,60,4,6,10,4,TRUE,0.1,"Summer","2018","very high","very high"
"within a day",FALSE,473,TRUE,TRUE,"Eixample","Entire home/apt",6,2,4,119,3.2,25,21,38,68,340,1,0,0,20,10,10,10,4,TRUE,0.08,"Summer","2018","very high","very high"
"within an hour",FALSE,3,TRUE,TRUE,"Eixample","Entire home/apt",7,4,4,761,6,1125,27,57,87,177,0,0,0,80,10,10,10,10,FALSE,0.02,"Spring","2014","very high","very high"
"within a few hours",FALSE,2,TRUE,TRUE,"Eixample","Private room",2,1,1,56,2,1125,3,33,63,63,36,17,0,95,10,10,10,10,FALSE,2.15,"Spring","2019","very high","very high"
"within an hour",FALSE,4,TRUE,FALSE,"Eixample","Private room",2,1,1,48,2,1125,28,58,88,320,13,13,6,95,9,9,10,10,TRUE,2.38,"Summer","2016","very high","very high"
"within an hour",FALSE,4,TRUE,FALSE,"Eixample","Private room",3,1,3,62,2,637.9,30,57,87,319,6,6,3,90,8,8,10,9,TRUE,3.46,"Summer","2016","very high","very high"
"within an hour",FALSE,4,TRUE,FALSE,"Eixample","Private room",4,1,4,76,2,1125,27,57,83,315,1,1,0,100,10,10,10,10,TRUE,0.18,"Summer","2016","very high","very high"
"within an hour",FALSE,4,TRUE,FALSE,"Eixample","Private room",3,1,2,62,2,1125,24,54,84,316,2,2,0,90,8,10,10,9,TRUE,0.27,"Summer","2016","very high","very high"
"within a few hours",FALSE,133,TRUE,TRUE,"Eixample","Entire home/apt",6,4,4,70,32,1125,0,0,0,2,1,0,0,100,10,10,10,10,FALSE,0.07,"Autumn","2010","very high","very high"
"Unknown",FALSE,1,TRUE,TRUE,"Ciutat Vella","Private room",2,1,1,40,3,1125,0,0,21,111,0,0,0,100,10,10,10,10,FALSE,0.36,"Autumn","2015","Unknown","low"
"within a day",TRUE,24,TRUE,TRUE,"Eixample","Entire home/apt",4,2,3,75,31,331,0,0,22,61,3,2,0,100,10,10,10,9,FALSE,0.2,"Winter","2018","very high","high"
"within a day",FALSE,58,TRUE,TRUE,"Eixample","Entire home/apt",6,2,2,85,3,1125,30,60,90,129,4,2,0,100,10,10,9,10,TRUE,0.27,"Summer","2016","average","very high"
"Unknown",FALSE,4,TRUE,TRUE,"Ciutat Vella","Private room",2,1,1,59,1,1125,30,60,66,303,50,19,0,94,10,10,10,9,FALSE,2.95,"Winter","2019","Unknown","high"
"a few days or more",FALSE,1,TRUE,FALSE,"Sant Martí","Private room",2,1,1,100,31,31,28,58,88,178,0,0,0,96,10,10,10,10,FALSE,0.13,"Spring","2019","very low","Unknown"
"Unknown",FALSE,2,TRUE,FALSE,"Eixample","Private room",2,1,1,79,2.6,10,30,60,90,180,2,0,0,90,8,10,10,10,TRUE,0.12,"Autumn","2011","Unknown","Unknown"
"within an hour",FALSE,3,TRUE,TRUE,"Eixample","Private room",2,1,1,20,1,1125,30,60,89,89,16,14,1,95,10,9,10,10,TRUE,1,"Spring","2019","very high","very high"
"within an hour",FALSE,3,TRUE,TRUE,"Eixample","Private room",2,1,1,18,1,1125,17,47,76,76,36,26,2,97,10,9,10,9,TRUE,2.22,"Spring","2019","very high","very high"
"within an hour",FALSE,3,TRUE,TRUE,"Eixample","Private room",4,2,2,54,1,1125,17,47,76,76,30,16,0,92,9,9,10,9,TRUE,1.96,"Spring","2019","very high","very high"
